Comment,Designator,Footprint,JLCPCB Part#(optional)
1uF,C1,C_0402_1005Metric,C52923
1uF,C2,C_0402_1005Metric,C52923
100nF,C3,C_0402_1005Metric,C2655418
100nF,C4,C_0402_1005Metric,C2655418
4.7uF,C5,C_0402_1005Metric,C541466
4.7uF,C6,C_0402_1005Metric,C541466
4.7uF,C7,C_0402_1005Metric,C541466
BAV70,D1,SOT-23,C154830
BAV70,D2,SOT-23,C154830
BAV70,D3,SOT-23,C154830
BAV70,D4,SOT-23,C154830
BAV70,D5,SOT-23,C154830
BAV70,D6,SOT-23,C154830
BAV70,D7,SOT-23,C154830
BAV70,D8,SOT-23,C154830
BAV70,D9,SOT-23,C154830
BAV70,D10,SOT-23,C154830
BAV70,D11,SOT-23,C154830
BAV70,D12,SOT-23,C154830
BAV70,D13,SOT-23,C154830
BAV70,D14,SOT-23,C154830
BAV70,D15,SOT-23,C154830
BAV70,D16,SOT-23,C154830
BAV70,D17,SOT-23,C154830
BAV70,D18,SOT-23,C154830
BSD3C051V,D19,D_SOD-323,C151996
0603L075SLYR,F1,Fuse_0603_1608Metric,C207016
BLM15PX121SN1D,FB1,L_0402_1005Metric,C88970
BLM15PX121SN1D,FB2,L_0402_1005Metric,C88970
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Battery,J4,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752
2N7002,Q1,SOT-23,C8545
5k1,R1,R_0402_1005Metric,C103086
5k1,R2,R_0402_1005Metric,C103086
1M,R3,R_0603_1608Metric,C3016422
47k,R4,R_0402_1005Metric,C3015869
10k,R5,R_0402_1005Metric,C705657
1k5,R6,R_0402_1005Metric,C114759
1k5,R7,R_0402_1005Metric,C114759
1k5,R8,R_0402_1005Metric,C114759
1k5,R9,R_0402_1005Metric,C114759
100k,R10,R_0402_1005Metric,C319963
100,R11,R_0402_1005Metric,C319948
806k,R12,R_0402_1005Metric,C3016043
10k,R13,R_0402_1005Metric,C705657
2M,R14,R_0402_1005Metric,C3015935
SW_SPDT,SW1,SW_SPDT_PCM12,C221841
RESET,SW2,SW_SPST_TL3342,C318884
SRV05-4,U1,SOT-23-6-routable,C2972082
XC6206P332MR,U3,SOT-23-3,C2897477
BQ24075RGR,U4,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464
