Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,141.411413,-58.794161,180,bottom
C2,1uF,C_0402_1005Metric,141.411414,-59.98754,180,bottom
C3,100nF,C_0402_1005Metric,141.411412,-61.17817,180,bottom
C4,100n,C_0402_1005Metric,140.220783,-45.204696,-90,bottom
C5,4u7,C_0402_1005Metric,141.411412,-51.355488,0,bottom
C6,4u7,C_0402_1005Metric,134.265029,-53.506745,180,bottom
C7,4u7,C_0402_1005Metric,137.271871,-56.82863,180,bottom
D1,BAV70,SOT-23,56.45013,-38.666754,-97,bottom
D2,BAV70,SOT-23,58.855528,-58.155211,-97,bottom
D3,BAV70,SOT-23,65.987935,-78.22407,-97,bottom
D4,BAV70,SOT-23,65.443806,-82.655645,83,bottom
D5,BAV70,SOT-23,105.49212,-44.688353,-97,bottom
D6,BAV70,SOT-23,107.897512,-64.176808,-97,bottom
D7,BAV70,SOT-23,115.029923,-84.245672,-97,bottom
D8,BAV70,SOT-23,165.787362,-47.34208,-83,bottom
D9,BAV70,SOT-23,172.835992,-65.669727,-83,bottom
D10,BAV70,SOT-23,165.703583,-85.738587,-83,bottom
D11,BAV70,SOT-23,114.486566,-88.677336,83,bottom
D12,BAV70,SOT-23,203.603466,-42.698846,-83,bottom
D13,BAV70,SOT-23,210.652096,-61.026492,-83,bottom
D14,BAV70,SOT-23,203.519687,-81.095352,-83,bottom
D15,BAV70,SOT-23,226.943093,-39.833103,-83,bottom
D16,BAV70,SOT-23,233.991722,-58.160746,-83,bottom
D17,BAV70,SOT-23,226.859313,-78.229608,-83,bottom
D18,BAV70,SOT-23,227.403442,-82.661182,97,bottom
D19,BSD3C051V,D_SOD-323,140.220784,-47.783606,-90,bottom
F1,0603L075SLYR,Fuse_0603_1608Metric,143.990031,-49.867203,-90,bottom
FB1,BLM15PX121SN1D,L_0402_1005Metric,143.990031,-47.18829,-90,bottom
FB2,BLM15PX121SN1D,L_0402_1005Metric,142.120032,-48.348605,-90,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,146.440031,-38.556238,0,bottom
J4,Battery,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,153.306793,-53.844724,180,bottom
Q1,2N7002,SOT-23,134.208376,-44.208973,90,bottom
R1,5k1,R_0402_1005Metric,144.685639,-45.104691,-90,bottom
R2,5k1,R_0402_1005Metric,147.690032,-45.104695,-90,bottom
R3,1M,R_0603_1608Metric,142.120031,-45.669692,-90,bottom
R4,47k,R_0402_1005Metric,141.411415,-52.661432,180,bottom
R5,10k,R_0402_1005Metric,141.411413,-56.828628,0,bottom
R6,1k5,R_0402_1005Metric,138.291871,-49.387204,-90,bottom
R7,1k5,R_0402_1005Metric,141.411412,-55.638001,180,bottom
R8,1k5,R_0402_1005Metric,141.411412,-54.447373,180,bottom
R9,1k5,R_0402_1005Metric,136.791871,-49.387204,90,bottom
R10,100k,R_0402_1005Metric,131.674847,-45.101941,90,bottom
R11,100,R_0402_1005Metric,140.220782,-42.900158,90,bottom
R12,806k,R_0402_1005Metric,134.74503,-59.987543,-90,bottom
R13,10k,R_0402_1005Metric,140.220783,-40.816559,90,bottom
R14,2M,R_0402_1005Metric,133.554402,-59.987543,90,bottom
SW1,SW_SPDT,SW_SPDT_PCM12,134.082349,-37.464528,-7,bottom
SW2,RESET,SW_SPST_TL3342,145.519342,-59.987544,-90,bottom
U1,SRV05-4,SOT-23-6-routable,145.940032,-53.43909,180,bottom
U3,XC6206P332MR,SOT-23-3,137.541872,-59.987544,180,bottom
U4,BQ24075RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,137.541871,-53.256745,90,bottom
